ID,Target_Value,Set
Debaryomyces_fabryi,1,Test
Debaryomyces_marama,1,Test
Debaryomyces_prosopidis,1,Test
Debaryomyces_robertsiae,0,Test
Debaryomyces_singareniensis,0,Test
Debaryomyces_subglobosus,1,Test
Debaryomyces_udenii,1,Test
Diddensiella_santjacobensis,1,Test
Dipodascopsis_anomala,0,Test
Dipodascopsis_uninucleata_var._wickerhamii,0,Test
Dipodascus_aggregatus,0,Test
Dipodascus_fermentans,0,Test
Dipodascus_histeridarus,1,Test
Dipodascus_klebahnii,1,Test
Dipodascus_macrosporus,0,Test
Diutina_pseudorugosa,1,Test
Diutina_ranongensis,0,Test
Diutina_rugosa,1,Test
Eremothecium_cymbalariae,0,Test
Galactomyces_reessii,1,Test
Grigorovia_humatica,0,Test
Grigorovia_jiainica,0,Test
Groenewaldozyma_auringiensis,1,Test
Groenewaldozyma_salmanticensis,0,Test
Groenewaldozyma_tartarivorans,1,Test
Hanseniaspora_clermontiae,0,Test
Hanseniaspora_meyeri,0,Test
Hanseniaspora_nectarophila,0,Test
Hanseniaspora_occidentalis_var._citrica,0,Test
Hanseniaspora_occidentalis_var._occidentalis,0,Test
Hanseniaspora_opuntiae,0,Test
Hanseniaspora_pseudoguilliermondii,0,Test
Hanseniaspora_singularis,0,Test
Hanseniaspora_smithiae,0,Test
Hanseniaspora_taiwanica,0,Test
Hanseniaspora_uvarum_DSMZ_2768,0,Test
Hanseniaspora_uvarum_NRRL_Y-1614,0,Test
Hanseniaspora_vineae,0,Test
Hemisphaericaspora_insectamans,0,Test
Hyphopichia_buzzinii,0,Test
Hyphopichia_fennica,1,Test
Hyphopichia_heimii,1,Test
Hyphopichia_pseudoburtonii,1,Test
Hyphopichia_rhagii,1,Test
Hyphopichia_wangnamkhiaoensis,1,Test
Kazachstania_aerobia,0,Test
Kazachstania_africana,0,Test
Kazachstania_aquatica,0,Test
Kazachstania_barnettii,0,Test
Kazachstania_exigua,0,Test
Kazachstania_gamospora,0,Test
Kazachstania_heterogenica,0,Test
Kazachstania_humilis_NRRL_Y-17074,0,Test
Kazachstania_humilis_NRRL_Y-7245,0,Test
Kazachstania_intestinalis,0,Test
Kazachstania_jinghongensis,0,Test
Kazachstania_lodderae,0,Test
Kazachstania_saulgeensis,0,Test
Kazachstania_siamensis,0,Test
Kazachstania_sinensis,0,Test
Kazachstania_slooffiae,0,Test
Kazachstania_sp._UFMG-CM-Y273,0,Test
Kazachstania_spencerorum,0,Test
Kazachstania_turicensis,0,Test
Kazachstania_unispora,0,Test
Kluyveromyces_aestuarii_NRRL_YB-4510,0,Test
Kluyveromyces_dobzhanskii,0,Test
Kluyveromyces_lactis_var._drosophilarum_NRRL_Y-8278,1,Test
Kluyveromyces_lactis_var._lactis_NRRL_Y-8279,0,Test
Kluyveromyces_marxianus_DMB1,0,Test
Kluyveromyces_nonfermentans,0,Test
Kluyveromyces_sp._yHMH660,0,Test
Kluyveromyces_wickerhamii,1,Test
Kodamaea_anthophila,1,Test
Kodamaea_derodonti,0,Test
Kodamaea_fukazawae,0,Test
Kodamaea_laetipori,1,Test
Kodamaea_leandrae,1,Test
Kodamaea_neixiangensis,0,Test
Kodamaea_ohmeri,0,Test
Kodamaea_plutei,0,Test
Kodamaea_sp._yHQL449,0,Test
Kodamaea_sp._yHQL451,0,Test
Komagataella_kurtzmanii,0,Test
Komagataella_mondaviorum,0,Test
Komagataella_pastoris_ATCC_28485,0,Test
Komagataella_pastoris_NRRL_Y-1603,1,Test
Komagataella_phaffii_GS115,0,Test
Komagataella_phaffii_NRRL_Y-7556,0,Test
Komagataella_populi,0,Test
Komagataella_pseudopastoris,0,Test
Komagataella_ulmi,0,Test
Kregervanrija_delftensis,0,Test
Kregervanrija_fluxuum,0,Test
Kregervanrija_pseudodelftensis,0,Test
Kuraishia_capsulata,1,Test
Kuraishia_cidri,1,Test
Kuraishia_hungarica,1,Test
Kuraishia_molischiana,1,Test
Kuraishia_ogatae,1,Test
Kurtzmaniella_cleridarum,1,Test
Kurtzmaniella_oleophila,0,Test
Kurtzmaniella_quercitrusa,0,Test
Lachancea_cidri_NRRL_Y-12635,0,Test
Lachancea_dasiensis,0,Test
Lachancea_fantastica_nom._nud.,0,Test
Lachancea_fermentati,0,Test
Lachancea_meyersii,0,Test
Lachancea_mirantina,0,Test
Lachancea_quebecensis,0,Test
Lachancea_sp._yHQL494,0,Test
Lipomyces_arxii,1,Test
Lipomyces_chichibuensis,0,Test
Lipomyces_kononenkoae,1,Test
Lipomyces_mesembrius,0,Test
Lipomyces_oligophaga,0,Test
Lipomyces_sp._NRRL_Y-11553,0,Test
Lipomyces_spencermartinsiae,0,Test
Lipomyces_yamadae,1,Test
Lipomyces_yamanashiensis,0,Test
Lipomyces_yarrowii,0,Test
Lodderomyces_beijingensis,0,Test
Lodderomyces_elongisporus,0,Test
Magnusiomyces_clavatus,0,Test
Magnusiomyces_ingens,0,Test
Magnusiomyces_magnusii,0,Test
Magnusiomyces_starmeri,0,Test
Magnusiomyces_tetraspermus,0,Test
Martiniozyma_asiatica,1,Test
Metschnikowia_aberdeeniae,1,Test
Metschnikowia_andauensis,1,Test
Metschnikowia_anglica,1,Test
Metschnikowia_arizonensis,0,Test
Metschnikowia_australis,0,Test
Metschnikowia_bicuspidata_var._californica,1,Test
Metschnikowia_bowlesiae,0,Test
Metschnikowia_dekortorum,0,Test
Metschnikowia_drakensbergensis,0,Test
Metschnikowia_drosophilae,1,Test
Metschnikowia_gelsemii,0,Test
Metschnikowia_gruessii,0,Test
Metschnikowia_hawaiiana,1,Test
Metschnikowia_hawaiiensis_NRRL_Y-17272,1,Test
Metschnikowia_hawaiiensis_UWOPS_87-2203.2,0,Test
Metschnikowia_koreensis,0,Test
Metschnikowia_krissii,0,Test
Metschnikowia_kunwiensis,0,Test
Metschnikowia_lachancei,0,Test
Metschnikowia_lochheadii,1,Test
Metschnikowia_lunata,0,Test
Metschnikowia_picachoensis,0,Test
Metschnikowia_pimensis,0,Test
Metschnikowia_saccharicola,1,Test
Metschnikowia_santaceciliae,0,Test
Metschnikowia_shivogae,1,Test
Metschnikowia_similis_UWOPS_03-133.4,0,Test
Metschnikowia_sp._yHKB443,0,Test
Metschnikowia_vanudenii,0,Test
Metschnikowia_viticola,0,Test
Meyerozyma_caribbica,1,Test
Meyerozyma_carpophila,1,Test
Meyerozyma_elateridarum,1,Test
Meyerozyma_guilliermondii_NRRL_Y-2075,1,Test
Meyerozyma_smithsonii,1,Test
Millerozyma_farinosa,0,Test
Myxozyma_geophila,0,Test
Myxozyma_lipomycoides,1,Test
Myxozyma_melibiosi,0,Test
Myxozyma_monticola,1,Test
Myxozyma_neotropica,0,Test
Nadsonia_fulvescens_var._elongata,0,Test
Nadsonia_fulvescens_var._fulvescens,0,Test
Nadsonia_starkeyi-henricii,0,Test
Nakaseomyces_castellii,0,Test
Nakaseomyces_glabratus,0,Test
Nakaseomyces_kungkrabaensis,0,Test
Nakazawaea_anatomiae,0,Test
Nakazawaea_ernobii,0,Test
Nakazawaea_ishiwadae,0,Test
Nakazawaea_laoshanensis,0,Test
Nakazawaea_peltata,1,Test
Nakazawaea_populi,0,Test
Nakazawaea_wickerhamii,1,Test
Nakazawaea_wyomingensis,1,Test
Naumovozyma_baii,0,Test
Naumovozyma_castellii,0,Test
Naumovozyma_dairenensis,0,Test
Nematodospora_anomalae,0,Test
Nematodospora_valgi,0,Test
Ogataea_angusta,0,Test
Ogataea_corticis,0,Test
Ogataea_degrootiae,0,Test
Ogataea_dorogensis,1,Test
Ogataea_haglerorum,0,Test
Ogataea_henricii,0,Test
Ogataea_methanolica,1,Test
Ogataea_minuta,0,Test
Ogataea_neopini,1,Test
Ogataea_nitratoaversa,1,Test
Ogataea_nonfermentans,0,Test
Ogataea_paradorogensis,0,Test
Ogataea_paraovalis,0,Test
Ogataea_philodendri,0,Test
Ogataea_pini,0,Test
Ogataea_polymorpha_NCYC_495,0,Test
Ogataea_salicorniae,1,Test
Ogataea_sp._NRRL_Y-27166,1,Test
Ogataea_sp._NRRL_Y-27170,0,Test
Ogataea_sp._NRRL_YB-1238,1,Test
Ogataea_sp._NRRL_YB-2437,1,Test
Ogataea_sp._NRRL_YB-2442,0,Test
Ogataea_thermomethanolica,0,Test
Ogataea_trehaloabstinens,1,Test
Ogataea_trehalophila,1,Test
Ogataea_wickerhamii,1,Test
Pachysolen_tannophilus,1,Test
Peterozyma_toletana,0,Test
Phaffomyces_antillensis,0,Test
Phaffomyces_opuntiae,0,Test
Pichia_cephalocereana,0,Test
Pichia_deserticola,0,Test
Pichia_eremophila,0,Test
Pichia_gijzenarium,0,Test
Pichia_kluyveri,1,Test
Pichia_kudriavzevii_NRRL_Y-5396,0,Test
Pichia_kudriavzevii_SD108,0,Test
Pichia_mandshurica,0,Test
Pichia_membranifaciens,0,Test
Pichia_nakasei,0,Test
Pichia_nanzhaoensis,0,Test
Pichia_occidentalis,0,Test
Pichia_paraexigua,0,Test
Pichia_sp._yHKS168,0,Test
Priceomyces_carsonii,1,Test
Saccharomyces_cerevisiae,0,Test
Saccharomyces_eubayanus,0,Test
Saccharomyces_kudriavzevii,0,Test
Saccharomyces_paradoxus,0,Test
Saccharomyces_uvarum,0,Test
Saccharomycopsis_babjevae,0,Test
Saccharomycopsis_fermentans,0,Test
Saccharomycopsis_fodiens,0,Test
Saccharomycopsis_javanensis,0,Test
Saccharomycopsis_microspora,1,Test
Saccharomycopsis_schoenii,1,Test
Saccharomycopsis_sp._NRRL_Y-5750,0,Test
Saprochaete_fungicola,0,Test
Saturnispora_ahearnii,0,Test
Saturnispora_besseyi,1,Test
Saturnispora_bothae,0,Test
Saturnispora_diversa,1,Test
Saturnispora_galanensis,0,Test
Saturnispora_hagleri,0,Test
Saturnispora_halmiae,0,Test
Saturnispora_kantuleensis,0,Test
Saturnispora_mendoncae,0,Test
Saturnispora_quitensis,0,Test
Saturnispora_saitoi,0,Test
Saturnispora_sanitii,0,Test
Saturnispora_serradocipensis,0,Test
Saturnispora_silvae,0,Test
Scheffersomyces_coipomensis,1,Test
Scheffersomyces_lignicola,1,Test
Scheffersomyces_spartinae,0,Test
Scheffersomyces_stambukii,0,Test
Scheffersomyces_stipitis_NRRL_Y-11545,0,Test
Scheffersomyces_virginianus,1,Test
Scheffersomyces_xylosifermentans,1,Test
Schwanniomyces_capriottii,1,Test
Schwanniomyces_etchellsii,1,Test
Schwanniomyces_occidentalis_var._persoonii,0,Test
Schwanniomyces_polymorphus_var._polymorphus,0,Test
Schwanniomyces_sp._NRRL_Y-7430,0,Test
Schwanniomyces_sp._yHMH407,0,Test
Schwanniomyces_vanrijiae_var._yarrowii,0,Test
Spathaspora_boniae,0,Test
Spathaspora_girioi,0,Test
Spathaspora_gorwiae,0,Test
Spathaspora_hagerdaliae,0,Test
Starmera_dryadoides,0,Test
Starmera_quercuum,0,Test
Starmerella_asiatica,0,Test
Starmerella_bacillaris,0,Test
Starmerella_bombicola,0,Test
Starmerella_cellae,0,Test
Starmerella_floricola,0,Test
Starmerella_lactis-condensi,0,Test
Starmerella_magnoliae,0,Test
Starmerella_potacharoeniae,0,Test
Starmerella_powellii,0,Test
Starmerella_ratchasimensis,0,Test
Starmerella_riodocensis,0,Test
Starmerella_roubikii,0,Test
Starmerella_sirachaensis,0,Test
Starmerella_stigmatis,0,Test
Starmerella_vitae,0,Test
Sugiyamaella_americana,1,Test
Sugiyamaella_boreocaroliniensis,1,Test
Sugiyamaella_castrensis,1,Test
Sugiyamaella_chiloensis,1,Test
Sugiyamaella_japonica,1,Test
Sugiyamaella_marilandica,1,Test
Sugiyamaella_marionensis,1,Test
Sugiyamaella_mastotermitis,0,Test
Sugiyamaella_neomexicana,1,Test
Sugiyamaella_novakii,0,Test
Sugiyamaella_qingdaonensis,1,Test
Sugiyamaella_sp._yHKS617,0,Test
Sugiyamaella_xylanicola,0,Test
Suhomyces_anneliseae,1,Test
Suhomyces_bolitotheri,0,Test
Suhomyces_bribrorum,1,Test
Suhomyces_canberraensis,1,Test
Suhomyces_chickasaworum,0,Test
Suhomyces_coccinellae,0,Test
Suhomyces_guaymorum,1,Test
Suhomyces_kilbournensis,1,Test
Suhomyces_kunorum,0,Test
Suhomyces_sp._yHMH580,0,Test
Suhomyces_sp._yHQL142,0,Test
Suhomyces_taliae,0,Test
Suhomyces_tanzawaensis,0,Test
Suhomyces_xylopsoci,0,Test
Tetrapisispora_phaffii,0,Test
Teunomyces_atbi,0,Test
Teunomyces_funiuensis,0,Test
Teunomyces_lycoperdinae,0,Test
Teunomyces_panamensis,0,Test
Tortispora_agaves,0,Test
Tortispora_caseinolytica,1,Test
Tortispora_ganteri,0,Test
Tortispora_mauiana,1,Test
Tortispora_phaffii,0,Test
Tortispora_starmeri,1,Test
Torulaspora_delbrueckii,0,Test
Torulaspora_microellipsoides,0,Test
Torulaspora_pretoriensis,0,Test
Trigonopsis_cantarellii,0,Test
Vanderwaltozyma_sp._yHKB289,0,Test
Vanderwaltozyma_verrucispora,0,Test
Vanderwaltozyma_yarrowii,0,Test
Wickerhamia_fluorescens,0,Test
Wickerhamiella_allomyrinae,0,Test
Wickerhamiella_bombiphila,0,Test
Wickerhamiella_galacta,0,Test
Wickerhamiella_infanticola_DS02,0,Test
Wickerhamiella_infanticola_NRRL_Y-17858,0,Test
Wickerhamiella_musiphila,0,Test
Wickerhamiella_nectarea,0,Test
Wickerhamiella_parazyma,0,Test
Wickerhamiella_slavikovae,0,Test
Wickerhamomyces_bisporus,0,Test
Wickerhamomyces_bovis,1,Test
Wickerhamomyces_chaumierensis,1,Test
Wickerhamomyces_hampshirensis,1,Test
Wickerhamomyces_lynferdii,0,Test
Wickerhamomyces_mucosus,1,Test
Wickerhamomyces_onychis,0,Test
Wickerhamomyces_queroliae,0,Test
Wickerhamomyces_sp._NRRL_YB-2243,1,Test
Wickerhamomyces_sp._yHMH26,0,Test
Wickerhamomyces_sp._yHMH451,0,Test
Wickerhamomyces_subpelliculosus,0,Test
Wickerhamomyces_sydowiorum,0,Test
Yamadazyma_akitaensis,1,Test
Yamadazyma_epiphylla,1,Test
Yamadazyma_kitorensis,1,Test
Yamadazyma_mexicana,1,Test
Yamadazyma_olivae,1,Test
Yamadazyma_paraphyllophila,1,Test
Yamadazyma_philogaea,1,Test
Yamadazyma_siamensis,1,Test
Yamadazyma_sp._yHKB15,0,Test
Yamadazyma_tenuis,1,Test
Yamadazyma_triangularis,0,Test
Yamadazyma_tumulicola,0,Test
Yarrowia_alimentaria,0,Test
Yarrowia_brassicae,0,Test
Yarrowia_bubula,0,Test
Yarrowia_deformans,0,Test
Yarrowia_galli,0,Test
Yarrowia_hollandica,0,Test
Yarrowia_lipolytica_NRRL_YB-423,0,Test
Yarrowia_porcina,0,Test
Zygoascus_flipseniorum,0,Test
Zygosaccharomyces_gambellarensis,0,Test
Zygosaccharomyces_kombuchaensis,0,Test
Zygosaccharomyces_pseudorouxii,0,Test
Zygosaccharomyces_rouxii,0,Test
Zygosaccharomyces_sapae,0,Test
Zygosaccharomyces_siamensis,0,Test
Zygotorulaspora_danielsina,0,Test
